system:index,LAI,SoilMoisture,VH,VV,date,.geo
S1B_IW_GRDH_1SDV_20170818T221235_20170818T221303_007000_00C557_79FE,2.288108758365455,0.17388727716925728,-18.60497244923729,-12.173854369078624,2017-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170830T221236_20170830T221303_007175_00CA5F_2124,1.7717832307053136,0.16286609509572095,-19.233427718528482,-12.79577102254084,2017-08-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170911T221236_20170911T221304_007350_00CF87_420C,2.19977752319823,0.17039534183137398,-18.875183901690363,-12.311659316151337,2017-09-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20170923T221237_20170923T221304_007525_00D497_4CBF,1.0507859894300349,0.15428145398176688,-20.27690798636753,-13.932289637035367,2017-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20171005T221237_20171005T221304_007700_00D99C_CEC5,0.3422990493919752,0.1703135516313417,-21.8096837702039,-15.008005453676944,2017-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20171017T221237_20171017T221304_007875_00DE92_E64E,0.24321686679983068,0.18145617320390908,-20.587012784017425,-12.079552053010032,2017-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20171029T221237_20171029T221305_008050_00E39F_56A5,0.340645661913872,0.169771072314156,-23.150658746190857,-15.249544282225816,2017-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20171110T221237_20171110T221304_008225_00E8BE_3BE4,0.3697818729272306,0.1641804976773293,-23.310136408478257,-15.57851490826379,2017-11-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20171122T221237_20171122T221304_008400_00EE0B_EF8E,0.426879386738815,0.16523337916933137,-23.84617498536419,-15.78424444431282,2017-11-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20171204T221237_20171204T221304_008575_00F394_3A5F,0.4057536148835551,0.16549928826733512,-24.35064490674858,-16.03441101711609,2017-12-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20171216T221236_20171216T221303_008750_00F924_8F29,0.4172076357595108,0.16566029647564015,-24.529382596185197,-16.107437336874575,2017-12-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20171228T221236_20171228T221303_008925_00FEBF_62C7,0.3069921062304835,0.16526716503495362,-24.11740067864842,-16.175575408829392,2017-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180109T221235_20180109T221302_009100_010474_64AE,0.3643169740608433,0.1690539702554673,-24.644083792393243,-16.394977485226224,2018-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180121T221235_20180121T221302_009275_010A27_B781,0.2616762630608993,0.16761270839762682,-23.5334907950899,-16.169655782806494,2018-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180202T221234_20180202T221301_009450_010FE2_BAAA,0.2779116182409917,0.16637990588448143,-24.88195718060209,-16.479671857102495,2018-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180214T221234_20180214T221301_009625_0115A5_ABA0,0.25969324367813307,0.16465323497575735,-24.515097973347356,-16.349957842672513,2018-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180226T221234_20180226T221301_009800_011B72_3A1D,0.32738211499890013,0.16418692487372252,-22.99940469021768,-15.624765927194401,2018-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180310T221234_20180310T221301_009975_012150_556F,0.4477006792445192,0.1685749051002569,-22.732417927806203,-15.389635915739285,2018-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180322T221234_20180322T221301_010150_012702_C580,0.7866148867955087,0.1688736691413024,-20.90155331262179,-11.925253427549634,2018-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180403T221235_20180403T221302_010325_012CB0_BF46,1.042535517407148,0.1615310481514419,-20.694139450147635,-12.68190026628818,2018-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180415T221235_20180415T221302_010500_01324A_3A08,1.318634511226353,0.17205230246616368,-20.86461855365039,-12.864747748913974,2018-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180427T221236_20180427T221303_010675_0137E3_4637,1.8162534770383685,0.1936402978902563,-19.463587416630133,-11.66751407064902,2018-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180509T221236_20180509T221303_010850_013D8B_7D8E,1.4180831067757613,0.16652512372752842,-20.081875449065855,-12.325086008256909,2018-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180521T221237_20180521T221304_011025_014336_EEED,1.0656736206918127,0.20214272520517282,-17.806324049856276,-10.40149000806584,2018-05-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180602T221237_20180602T221305_011200_0148E0_F2A5,0.6836380497858129,0.16701304300375827,-19.6305158983347,-11.902383882126905,2018-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180614T221238_20180614T221306_011375_014E44_9909,0.6229323416493353,0.19028693766316004,-19.557312451331455,-10.065743736098762,2018-06-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180626T221239_20180626T221306_011550_0153AF_B5D2,0.9130175343127847,0.16237573219630824,-16.33291884123732,-8.212159878794955,2018-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180708T221240_20180708T221307_011725_01591E_9861,0.6012999550031839,0.1655173405599756,-17.049578400245945,-9.280758967388296,2018-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180720T221241_20180720T221308_011900_015E7B_BE13,2.8037203317403363,0.17971711771608181,-16.209382625515065,-8.911965940305564,2018-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180801T221241_20180801T221308_012075_0163C2_2BCB,3.1707528954640676,0.16162269760589654,-15.92393337013421,-8.994607861447774,2018-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180813T221242_20180813T221309_012250_01692A_EF20,1.7211312515109463,0.14527826045547906,-16.108986091093136,-9.245631535414745,2018-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20180825T221243_20180825T221310_012425_016E97_930D,2.7839868086382786,0.20412783653305444,-15.80728987151073,-8.732484639416702,2018-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20181012T221244_20181012T221311_013125_018406_7095,0.38841915487912027,0.170866466525015,-21.464735987446872,-11.315112528486596,2018-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20181024T221244_20181024T221311_013300_018971_E0D1,0.4034502889402236,0.16586894321762571,-21.078364178977314,-11.361543138482492,2018-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20181105T221244_20181105T221311_013475_018EF1_E9B5,0.15982264212466243,0.16403537939326945,-20.044880692677147,-10.842323980887596,2018-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20181117T221244_20181117T221311_013650_01946E_9C60,0.5480197685721195,0.17081216460582774,-20.38108276377628,-11.345436258865183,2018-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20181129T221243_20181129T221310_013825_019A05_E5F7,0.16042267473176552,0.16610784798496264,-20.416867589425834,-11.699826400895928,2018-11-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20181211T221243_20181211T221310_014000_019FB1_AB72,0.6582196133810407,0.1693636647772866,-25.352432225024653,-13.078625672398402,2018-12-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20181223T221243_20181223T221310_014175_01A57F_562F,0.5155455257294229,0.16853602723696606,-24.99249564108342,-13.216826194114448,2018-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190104T221242_20190104T221309_014350_01AB3E_A44C,0.421143206279701,0.16690919167505516,-25.7369907996074,-13.588061397533897,2019-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190116T221242_20190116T221309_014525_01B0E5_F305,0.3427735436697853,0.1668352161456351,-25.126004488652622,-13.593242752664846,2019-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190128T221241_20190128T221309_014700_01B67F_EFEF,0.3250684749162642,0.16582509227727282,-24.309820840022827,-13.219269878578672,2019-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190209T221241_20190209T221308_014875_01BC3F_EDBC,0.2613578175529407,0.16807766954858905,-23.491189717042,-13.435090036368976,2019-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190221T221241_20190221T221308_015050_01C1F8_C566,0.3714792210360982,0.1688766625930091,-23.440703414357767,-12.668730076519683,2019-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190305T221241_20190305T221308_015225_01C7C3_3A35,0.529865534740357,0.16814496940495352,-22.039320702232015,-12.420442181245283,2019-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190317T221241_20190317T221308_015400_01CD68_2C71,0.6935515880078835,0.16410040730025344,-20.408387090517824,-12.231089004232064,2019-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190329T221241_20190329T221308_015575_01D321_CE47,1.2947427396591182,0.16040899099554565,-22.505460506506743,-13.948652648910986,2019-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190410T221241_20190410T221308_015750_01D8F4_343D,1.8651458651063402,0.1691313602128223,-20.44375395373486,-12.200445695530743,2019-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190422T221242_20190422T221309_015925_01DEBD_7BF3,1.6163478248667467,0.15738624928827624,-21.398866811751578,-13.157451334570254,2019-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190504T221242_20190504T221310_016100_01E499_319D,1.0033414959062847,0.158270662256343,-21.412808772676765,-13.085576796197325,2019-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190516T221243_20190516T221310_016275_01EA17_88B6,1.7691627156449983,0.15283742107347287,-20.34551382076315,-12.049334591972823,2019-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190528T221244_20190528T221311_016450_01EF78_A0A6,0.9890032467663161,0.14212491950924952,-20.143849634345585,-12.123313394091394,2019-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190609T221244_20190609T221311_016625_01F4AC_6B1A,0.5783870834273548,0.15937505061705615,-19.7492123104738,-11.893970239531704,2019-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190621T221245_20190621T221312_016800_01F9E2_F755,0.5878833099785309,0.14277385754770755,-20.493984818910253,-10.222774757066606,2019-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190703T221246_20190703T221313_016975_01FF10_9EC5,0.7356534293898277,0.14005391068205364,-20.147569538585085,-10.751620882931878,2019-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190715T221246_20190715T221313_017150_020438_1F46,1.313572488156742,0.14825279098484764,-17.466317002851692,-9.603200521766981,2019-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190727T221247_20190727T221314_017325_02094E_FA49,2.217571612364562,0.14055204010349157,-15.999920983886897,-8.229105096486958,2019-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190808T221248_20190808T221315_017500_020E97_4E88,0.7579059487110649,0.1675059323736102,-16.09583317461285,-8.999397158746815,2019-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190820T221249_20190820T221316_017675_02140F_D302,2.168746631816576,0.17578252060169647,-16.561829698363418,-9.56931756757597,2019-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190901T221249_20190901T221316_017850_02197D_BFA5,2.6335920263290737,0.15659003727831305,-16.483551652205637,-9.371374299659,2019-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20190925T221250_20190925T221317_018200_022459_001B,1.1344511962023192,0.15639201891202933,-17.504753387949922,-10.047111787259878,2019-09-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20191007T221250_20191007T221317_018375_0229DE_83F5,0.4447181776506457,0.15867344303440314,-18.712781271066003,-10.176919050030254,2019-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20191019T221251_20191019T221318_018550_022F3E_E498,0.3719863096596014,0.16729506568872127,-21.30568792607657,-11.214794164920681,2019-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20191112T221250_20191112T221317_018900_023A5C_346E,0.48661323642007076,0.16076214176634665,-20.64319079340901,-10.834753526727287,2019-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20191124T221250_20191124T221317_019075_023FFC_4B5B,0.5382276801284475,0.1648142793666234,-23.387883460891754,-12.390398415971674,2019-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20191206T221250_20191206T221317_019250_024587_37D6,0.3474812154771344,0.16200551088638088,-24.384945104101334,-12.475603962642616,2019-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20191218T221249_20191218T221316_019425_024B1B_256F,0.535138495761234,0.16885471730374993,-23.20402051397435,-11.81882535687486,2019-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20191230T221249_20191230T221316_019600_0250B0_7531,0.5066542571032165,0.16444555145658496,-25.90853444135169,-13.205431761767661,2019-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20200123T221248_20200123T221315_019950_025BD4_29DD,0.393419329408099,0.17449203376347933,-21.177030521613933,-11.322559899122682,2020-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1B_IW_GRDH_1SDV_20200204T221247_20200204T221315_020125_02617F_71EF,0.4562491616053425,0.17127032503109554,-24.117103804525648,-13.192451498407587,2020-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
